Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
@Calligraphy.Inktattoosdurban,5.0,3,,+27 78 861 4248,303 West St - Town - Durban - 4001 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 4p.m.,10a.m. - 1p.m.
Just Ink Tattoo Studio,5.0,17,https://tatjustin69.wixsite.com/justink,+27 78 736 8510,114 Wood Rd - Montclair - Durban - 4061 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed
Teardrop Tattoo Parlour,4.5,79,teardroptattoo.co.za,+27 79 014 2954,13 The Lighthouse - Equinox Road - Umhlanga Ridge - Umhlanga - Durban - 4319 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.
Surreal Tattoos,4.9,56,surrealtattoos.co.za,+27 81 508 4852,Shop 10 - The Zen - 31 Zenith Dr - Umhlanga Ridge - Durban - 4319 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,10a.m. - 4p.m.,Closed
Insertion Of Ink Sa,5.0,11,https://insertinksa.com/,+27 78 213 2450,31 Teignmouth Rd - Umbilo - Durban - 4094 - South Africa,,,,,,,
Salvage Tattoo,5.0,9,salvagetattoo.co.za,+27 82 307 4100,Shop 52 - 53 Adelaide Tambo Kensington Square - Adelaide Tambo Dr - Durban North - 4051 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Throttle Brothers Tattoos,4.3,16,,+27 61 126 2879,330 Quality St - Jacobs - Bluff - 4026 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,10a.m. - 3p.m.
Cebo'S Tattoo Studio/Internet Cafe,4.3,10,,+27 84 696 2866,Nubian Ave - Nsimbini area - Durban - 4091 - South Africa,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,8a.m. - 10p.m.,10a.m. - 4p.m.,10a.m. - 7p.m.
Dark Angel Tattoos & Body Piercing,4.3,29,,+27 73 103 0447,1 Spanbury Pl - Eastbury - Durban - 4068 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,8a.m. - 5p.m.
Tried And True Tattoo,5.0,11,,,47 Ashley Ave - Glen Ashley - Durban North - 4051 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 2p.m.,Closed
Ink It Tattoos,4.7,36,inkittattoos.co.za,+27 81 414 3941,Unit 10 Pineville Junction - 81 Stapleton Rd - Cowies Hill Park - Durban - 3610 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 1p.m.,Closed
Lotus Tattoo,5.0,2,,+27 71 423 3397,124 Helen Joseph Rd - Glenwood - Durban - 4001 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 10p.m.,11a.m. - 6p.m.,12 - 6p.m.
Alien Ink,5.0,5,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2FAlien-Ink-Tattoo-Piercing-Studio-Tattooed-Goddess-751858691574308%2F%3Ftsid%3D0.6707664149184698%26source%3Dresult&refsrc=deprecated&_rdr,+27 82 857 3503,Shop No.2 - Limnos square - 1309 Sarnia Rd - Hillary - Durban - 4006 - South Africa,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,Closed
Evolution Inks Tattoo Shop,5.0,13,https://evolutioninks92.wixsite.com/tattoos,+27 64 657 7570,Unit 13 - 28 Mackeurtan Ave - Swapo Rd - Durban North - Durban - 4001 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 2p.m.
Denor House,3.4,12,,,347 Smith St - Durban Central - Durban - 4001 - South Africa,,,,,,,
Zakiyya - Henna Art Durban,4.3,12,hennaart.co.za,+27 83 786 0978,94 Bardia Ave - Reservoir Hills - Durban - 4091 - South Africa,12 - 2p.m.,12 - 2p.m.,12 - 2p.m.,12 - 2p.m.,Closed,Closed,Closed
Teez Kustomz,4.8,65,,+27 82 267 3118,31 Zenith Dr - Umhlanga - Durban - 4319 - South Africa,Closed,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.
Down 2 Earth Inkers,4.0,1,,+27 79 282 0260,537 Smith St - Durban Central - Durban - 4001 - South Africa,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.
Santana Ink Tattoo And Piercings Artist Durban Contact,5.0,1,,+27 71 765 6813,8th floor PIONEER BUILDING Durban - Durban - 4091 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.
Electric Eye Tattoo,4.3,59,chrome-error://chromewebdata/,+27 31 561 2555,13 McCausland Cres - Umhlanga - 4320 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
Art In Motion Tattoos,5.0,7,https://art-in-motion-tattoos.business.site/,+27 68 053 3649,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Misfit Ink Tattoo Studio,5.0,1,,+27 66 232 3409,Shop C20 - Wilsons Wharf - 14 Boatmans Rd - Albert Park - Durban - 4000 - South Africa,10a.m. - 9p.m.,10a.m. - 9p.m.,10a.m. - 9p.m.,10a.m. - 9p.m.,10a.m. - 9p.m.,10a.m. - 9p.m.,10a.m. - 6p.m.
House Of Ink Pty Ltd,5.0,2,houseofink.co.za,+27 74 726 9833,77 Nizam Rd - Merebank East - Durban - 4052 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,Closed
Blackfoot Tattoos Emporium,4.8,5,,+27 62 052 1954,P53 Bhejane Rd - KwaMashu - Durban - 4309 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Open 24 hours,Open 24 hours,9a.m. - 5p.m.
Iqhawe Tattoos,5.0,1,,+27 76 305 1949,197 Brand Rd - Glenwood - Durban - 4001 - South Africa,Closed,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.
Cocktail Ink Tattoos,5.0,6,https://cocktail-ink-tattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 78 559 0557,79 Mhlongo Rd - Lamontville - Durban - 4001 - South Africa,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 7:30p.m.,8:30a.m. - 8p.m.,8:30a.m. - 8p.m.,8:30a.m. - 8p.m.
Pro Rider Tattoos,4.9,12,,+27 76 378 9467,Millenium Market - Pandora St - Phoenix - Durban - 4068 - South Africa,,,,,,,
Trinity Tattoos,,,,+27 71 296 8448,297 Florida Rd - Windermere - Durban - 4001 - South Africa,,,,,,,
Tattoos By Kimeshan,4.8,10,https://tattoos-by-kimeshan.business.site/?utm_source=gmb&utm_medium=referral,+27 72 454 8103,80 Grove End Dr - Phoenix - Durban - 4068 - South Africa,Closed,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.
2Wice Ink Tattoos,,,,,Smith St - Durban Central - Durban - 4001 - South Africa,,,,,,,
Bhubesi Ink,5.0,1,,+27 84 533 1355,159 10th Ave - Morning Side - Durban - 4001 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 2:30p.m.
Skin Graaf Ink Tattoo And Piercings,,,,+27 83 376 0338,shop no 7 - 531 Sarnia Rd - Sea View - Durban - 4094 - South Africa,Closed,11a.m. - 8p.m.,11a.m. - 8p.m.,11a.m. - 8p.m.,11a.m. - 8p.m.,11a.m. - 8p.m.,11a.m. - 8p.m.
Tattoos King Magic,5.0,4,https://www.facebook.com/,+27 81 309 3637,8 Bell St - HighSpray - Durban - 4001 - South Africa,,,,,,,
Blackman Ink,5.0,1,,,357 Smith St - Durban Central - Durban - 4001 - South Africa,,,,,,,
Henna By Sumayya J - Durban,,,,+27 76 092 5400,Lilian Ngoyi Rd - Morningside - Durban - 4001 - South Africa,,,,,,,
Step Up (Tattoos// Piercings// Permanent Make Up),4.6,18,https://stepuptattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 72 117 7553,shop 35 (ground level - Kloof Village Mall - 33 Village Rd - Kloof - Durban - 3610 - South Africa,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 2p.m.,Closed
Tattooing,,,,+27 31 312 5975,453 Windermere Gve - Morningside - Durban - 4001 - South Africa,,,,,,,
South Side Ink,4.7,13,chrome-error://chromewebdata/,+27 84 346 2616,Shop B05 - Granada Square - 16 Chartwell Dr - Umhlanga - Durban - 4319 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,12 - 5p.m.
Simba Tattoos,4.6,33,https://simba-tattoos.business.site/,+27 61 457 6351,41 Heathrow Ave - Riet River - Verulam - 4339 - South Africa,9:30a.m. - 5p.m.,9a.m. - 5p.m.,9:30a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.
Ink Slave,,,https://ink-slave.business.site/?utm_source=gmb&utm_medium=referral,+27 84 551 6742,Room 406 floor number 4 - West Street - 330 pioneer place - Durban Central - Durban - 4000 - South Africa,9a.m. - 8a.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 9p.m.,10a.m. - 7a.m.
Skinart Tattoo Training,5.0,6,https://www.skinart.co.za/,+27 72 151 8259,1 King Shaka Ave - Point - Durban - 3610 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Santana Tattoo Artist Durban Matunhire,,,,+27 71 765 6813,8th floor - Room 817 - 330 West St - Durban Central - Durban - 4001 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Exotic Arts Tattoo Studio,,,,+27 76 692 4556,59 Donkin Road Parlock Newlands West - Durban - 4037 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.
Throttle Brothers Tattoos,3.0,2,,+27 73 278 6492,574 Tara Rd - Wentworth - Bluff - 4052 - South Africa,,,,,,,
Tropical Ink Tattoo & Piercing,4.9,7,tropicalink.co.za,+27 31 561 2555,11 McCausland Cres - Umhlanga - 4320 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Majestic Ink,,,,+27 72 054 9570,Greenwood Park - Durban North - 4051 - South Africa,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.
Dit'Studio'S,,,,+27 84 517 8475,Pine Rd - Clairwood - Durban - 4052 - South Africa,,,,,,,
2Wice Ink Tattoos,,,,+27 74 751 0862,396 West St - Durban Central - Durban - 4001 - South Africa,,,,,,,
Alpha Assassin Tattoo,4.8,51,alphaassassintattoo.co.za,+27 71 538 9633,12 Cadmoor Rd - Assagay - Outer West Durban - 3624 - South Africa,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.
Tevin Ink,5.0,4,,+27 63 075 1834,,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 5p.m.
Reunion Tattoo Masters,3.0,2,,+27 78 394 0818,Umlazi Mega City - Shop S182 50 Griffith Mxenge Highway Umlazi 4066 Reunion - Durban - 4089 - South Africa,Closed,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,8a.m. - 9p.m.,8a.m. - 9p.m.,Open 24 hours
Inkking Tattoos,,,,+27 74 315 9046,57 Spearman Rd - Sydenham - Durban - 4091 - South Africa,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11:30a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.
Creative Ink,,,,+27 31 573 1048,15 Leslie Ave - Rosehill - Durban - 4051 - South Africa,,,,,,,
Dark Ink Tattoos,,,https://www.facebook.com/DarkInkTattoosbyElieAchkar/,,23 Silver Willow Rd - Springfield - Durban - 1234 - South Africa,,,,,,,
Smokin Tattoos,4.3,17,https://heytattoo.co.za/0333583/Smokin_Tattoos,+27 73 281 2488,36 Inyoni Cres - Athlone Park - Amanzimtoti - 4126 - South Africa,,,,,,,
Nightmare Ink,5.0,11,,+27 31 404 3636,33 Damorosa Cres - Moorton - Chatsworth - 4092 - South Africa,,,,,,,
Sacred Empire Tattoos & Piercings,4.4,5,,+27 83 303 6638,Waterfall - Durban - 3652 - South Africa,10a.m. - 6p.m.,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,10a.m. - 1p.m.
Mondli'S Tattoos,5.0,4,,+27 65 941 0961,Shop 3 Union Ln - Pinetown - Durban - 3610 - South Africa,,,,,,,
Surreal Tattoo Studio,,,,,66 Assegai Cres - Jacobs - Bluff - 4026 - South Africa,,,,,,,
Skincity Route031,5.0,4,,+27 81 435 5412,32 Mthini Rd - Ezilwaneni - KwaMashu - 4360 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 12p.m.
Tattoo Artist,,,https://andrewmichaelspsychic.site.live/,+27 74 409 0265,107 Dowland Ave - Memorial Park - Durban - 4092 - South Africa,,,,,,,
Yolo Creationz Tattoos,5.0,1,,+27 74 247 9803,building - 5 Zenith - 20 Solstice Rd - Umhlanga Ridge - Durban - 4319 - South Africa,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 7p.m.,10a.m. - 6p.m.
Kaykeo Tattoo Academy,3.4,16,kaykeotattooacademy.co.za,+27 84 995 2989,2 Allagappa Rd - Motala Heights - Pinetown - 3600 - South Africa,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 6p.m.,8a.m. - 10p.m.,8a.m. - 10p.m.
Spray Paint Rebel Tattoo,5.0,10,,+27 74 623 4636,Bester - 20 Ntuzuma Access Road - KwaMashu - 4309 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,10a.m. - 2p.m.
Ink Wise Durban,5.0,1,,+27 31 306 9945,170 Victoria Embankment - Durban Central - Durban - 4001 - South Africa,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.
Euroâ˜†Signz Tattoos,5.0,3,https://euro-signz-tattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 83 760 4777,116 Caspian St - Westcliff - Durban - 4092 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Skin Dreams Tattoos,,,,+27 62 064 7066,109 Colorado Circle - Bayview - Chatsworth - Durban - 4092 - South Africa,,,,,,,
Krsna Tattoos & Piercings,5.0,1,,,391 Palmview drive - Phoenix - Phoenix - Durban - 4068 - South Africa,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.
Kevin'S Kustom Tattoos,4.0,4,,+27 83 259 7716,Linkhills Shopping Center Waterfall - 3652 - Inanda Rd - Waterfall - Durban - 3652 - South Africa,8a.m. - 3p.m.,8a.m. - 3p.m.,8a.m. - 3p.m.,8a.m. - 3p.m.,8a.m. - 3p.m.,8a.m. - 3p.m.,Closed
Inked By Zunai Tattoo And Piercing Studio,,,,+27 72 044 9458,Shop No. G8 - 250 Umhlanga Rocks Dr - Umhlanga - Durban - 4051 - South Africa,Closed,10a.m. - 7:30p.m.,10a.m. - 7:30p.m.,10a.m. - 7:30p.m.,10a.m. - 7:30p.m.,10a.m. - 7:30p.m.,10a.m. - 5p.m.
Crazy Tattoos,5.0,4,,+27 84 466 8989,6 Ashoka Pl - Croftdene - Chatsworth - 4092 - South Africa,,,,,,,
Rico'S Tattoos & Body Piercing,,,,+27 66 233 0623,,Closed,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,2a.m. - 5p.m.
Proink Tattoos,,,,+27 66 286 3280,4 4th Way - Rockford - Phoenix - 4068 - South Africa,Closed,Closed,Closed,Closed,Closed,11a.m. - 4p.m.,11a.m. - 4p.m.
Insane Inks,5.0,1,https://insane-inks.business.site/?utm_source=gmb&utm_medium=referral,+27 66 219 2730,348 Montdene Dr - Chatsworth - Durban - 4092 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
New Generation Tattoo,,,,+27 31 404 9476,26 Moorton Dr - Chatsworth - Durban - 4092 - South Africa,,,,,,,
Tattoo Equip Sa,5.0,1,https://tattooequip.co.za/,+27 84 995 2989,2 Allagappa Road Unit 2 Pinetown - Motala Heights - Durban - 3610 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Disturbed Ink,5.0,1,,+27 76 480 7432,8 - 95 Goodwood Rd - Mahogany Ridge - Pinetown - 3608 - South Africa,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.
Nemesis Tattoo,5.0,4,,+27 79 778 8199,172 Croftdene Dr - Croftdene - Chatsworth - 4092 - South Africa,,,,,,,
Mike Artura - Artura Tattoo Studio,4.3,11,,+27 82 776 8000,B12 Block Hillcrest Park - 45 Ridge Rd - Hillcrest - 3650 - South Africa,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,Closed
Kaykeo Tattoo Supply,1.0,1,https://tattoo-supply-durban.business.site/,+27 84 995 2989,2 Allagappa Rd - Motala Heights - Pinetown - 3610 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 2p.m.
Forbidden Ink,,,,,9 Old Main Rd - Hillcrest - Durban - 3610 - South Africa,,,,,,,
Out The Gutter Ink,5.0,1,,+27 81 829 9854,62 740 Rd - Chatsworth - Durban - 4092 - South Africa,10a.m. - 11p.m.,9a.m. - 11p.m.,9a.m. - 11p.m.,9a.m. - 11p.m.,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 10p.m.
Ethereal Vision Tattoo Studio,5.0,2,https://www.facebook.com/EtherealVisionsTattooedGoddess,+27 82 857 3503,41 Old Main Rd - Hillcrest - 3610 - South Africa,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,Closed
I Art Ink Tattoo Studio,,,,+27 31 584 6924,18 Zenith Dr - Umhlanga Ridge - Umhlanga - 4319 - South Africa,,,,,,,
Raw Ink Private Tattoo Sessions,,,https://raw-ink-private-tattoo-sessions.business.site/?utm_source=gmb&utm_medium=referral,+27 65 895 6842,247 Hawk Rd - Verulam - Durban - 4340 - South Africa,10a.m. - 6p.m.,10p.m. - 12a.m.,12a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 8p.m.,Closed
Wespe Custom Arts,,,https://www.facebook.com/wespecustomarts/,+27 65 588 8673,289 Hartley Pl - Amanzimtoti - Durban - 4126 - South Africa,8a.m. - 9p.m.,8a.m. - 9p.m.,8a.m. - 9p.m.,8a.m. - 9p.m.,8a.m. - 9p.m.,8a.m. - 9p.m.,Closed
New Skool Tattoo,,,,+27 60 352 2092,1 Strelitzia Rd - Amanzimtoti - Durban - 4126 - South Africa,,,,,,,
Nemesis Tattoo,,,,,8 Midmar Rd - Burlington Heights - Queensburgh - 4093 - South Africa,,,,,,,
Havoc Ink,,,,,59 Old Main Rd - Hillcrest - 3650 - South Africa,,,,,,,
Puddy Inkers,5.0,2,https://puddy-inkers.business.site/?utm_source=gmb&utm_medium=referral,+27 68 022 2941,Unnamed Road - Umgababa - Durban - 4126 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 7p.m.,9a.m. - 4p.m.
